sampleA,sampleB,filtered SNP distance,sites considered,MSA file,percentage,taxonomy,genus,species
C7,Z11,2,1675724,C1_bin_92,0.000119351,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis,Lagilactobacillus,Ligilactobacillus ruminis
C2,Z11,7,1673177,C1_bin_92,0.000418366,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis,Lagilactobacillus,Ligilactobacillus ruminis
U3,Z6,33,2033131,Z2_bin_63,0.001623112,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__,Megasphaera,Unclassified Megasphaera sp.
U4,U5,4,2141005,U5_bin_144,0.000186828,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Onthomorpha;s__Onthomorpha sp900545215,Onthomorpha,Onthomorpha sp900545215
U6,Z2,21,1627978,Z7_bin_73,0.001289944,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900551335,Phascolarctobacterium,Phascolarctobacterium sp900551335
U6,Z5,26,1622732,Z7_bin_73,0.001602236,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900551335,Phascolarctobacterium,Phascolarctobacterium sp900551335
U4,Z10,59,2987749,Z2_bin_129,0.001974731,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp000434735,Phocaeicola,Phocaeicola sp000434735
C10,Z9,32,2705144,C10_bin_82,0.001182931,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625,Prevotella,Prevotella sp002265625
Z5,Z6,34,2286010,C12_bin_14,0.001487308,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975,Prevotella,Prevotella sp000434975
U3,U9,38,2198202,C12_bin_14,0.001728686,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975,Prevotella,Prevotella sp000434975
C10,C9,14,1711938,C5_bin_134,0.000817787,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus_A;s__Pseudoruminococcus_A massiliensis,Pseudoruminococcus,Pseudoruminococcus massiliensis
C7,U11,9,1967840,U11_bin_92,0.000457354,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus_A;s__Pseudoruminococcus_A massiliensis,Pseudoruminococcus,Pseudoruminococcus massiliensis
C10,C9,16,1808637,U11_bin_92,0.000884644,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus_A;s__Pseudoruminococcus_A massiliensis,Pseudoruminococcus,Pseudoruminococcus massiliensis
C1,C9,43,2247986,C1_bin_54,0.001912823,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835,Succinivibrio,Succinivibrio sp000431835
Z11,Z12,2,2076625,C11_bin_52,9.63E-05,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900541995,Treponema,Treponema sp900541995
Z4,Z8,8,1985277,C11_bin_52,0.000402966,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900541995,Treponema,Treponema sp900541995
C9,U3,19,2006215,C11_bin_52,0.000947057,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900541995,Treponema,Treponema sp900541995
Z1,Z2,22,1984471,C11_bin_52,0.001108608,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900541995,Treponema,Treponema sp900541995
U4,Z5,5,1920306,U8_bin_119,0.000260375,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens,Treponema,Treponema succinifaciens
U3,Z6,9,1969383,U8_bin_119,0.000456996,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens,Treponema,Treponema succinifaciens
U8,Z3,35,2273534,U8_bin_119,0.001539454,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D succinifaciens,Treponema,Treponema succinifaciens
Z2,Z7,3,1022791,C1_bin_142,0.000293315,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp900546285,Uncharacterised,UBA636 sp900546285
U9,Z5,47,3035292,C11_bin_124,0.001548451,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__RUG572;s__RUG572 sp900547945,Uncharacterised,RUG572 sp900547945
U4,Z4,1,1655002,C4_bin_89,6.04E-05,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C8,U4,7,1702045,C4_bin_89,0.00041127,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
U4,Z7,8,1676378,C4_bin_89,0.000477219,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C6,U4,9,1696757,C4_bin_89,0.000530424,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C8,Z4,11,1678342,C4_bin_89,0.000655409,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
U4,Z8,12,1699731,C4_bin_89,0.000705994,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C6,Z4,14,1674708,C4_bin_89,0.000835967,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
U4,Z12,17,1694888,C4_bin_89,0.001003016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C8,Z7,19,1739968,C4_bin_89,0.001091974,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
Z4,Z7,19,1661414,C4_bin_89,0.001143604,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
Z7,Z8,32,1738657,C4_bin_89,0.001840501,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
C6,C8,35,1774010,C4_bin_89,0.001972931,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,Uncharacterised,ER4 sp000765235
Z4,Z6,10,1617277,C6_bin_133,0.000618323,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp900544285,Uncharacterised,CAG-841 sp900544285
C8,Z8,5,1614207,C7_bin_38,0.00030975,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
C7,C8,16,1865897,C7_bin_38,0.000857496,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
Z1,Z8,17,1600788,C7_bin_38,0.001061977,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
C6,Z6,19,1546299,C7_bin_38,0.00122874,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
C6,Z8,20,1608523,C7_bin_38,0.001243377,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
Z4,Z8,27,1613326,C7_bin_38,0.001673561,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
Z12,Z6,27,1545808,C7_bin_38,0.001746659,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
Z6,Z8,28,1522964,C7_bin_38,0.00183852,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
Z12,Z8,30,1606735,C7_bin_38,0.001867141,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,Uncharacterised,ER4 sp900317525
C6,U12,41,2128174,U12_bin_66,0.001926534,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__DTU089 sp002440045,Uncharacterised,DTU089 sp002440045
Z10,Z8,6,1561033,U7_bin_28,0.000384361,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp000437375,Uncharacterised,CAG-841 sp000437375
C7,Z2,4,1488341,Z2_bin_123,0.000268756,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp002329395,Uncharacterised,UBA1436 sp002329395
Z2,Z7,3,926360,Z2_bin_27,0.000323848,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp900546285,Uncharacterised,UBA636 sp900546285
U7,Z4,19,2692546,Z4_bin_32,0.000705652,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900549665,Uncharacterised,UBA2882 sp900549665
U11,Z7,2,2087556,Z4_bin_63,9.58E-05,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
C4,Z7,16,2108553,Z4_bin_63,0.000758814,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
C4,U11,22,2118752,Z4_bin_63,0.001038347,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
C4,U12,24,2163889,Z4_bin_63,0.001109114,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
U12,Z7,30,2130136,Z4_bin_63,0.001408361,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
U11,U12,35,2138990,Z4_bin_63,0.001636286,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__WG-1;s__WG-1 sp900539665,Uncharacterised,WG-1 sp900539665
Z10,Z6,3,2272929,Z6_bin_57,0.000131988,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900751035,Uncharacterised,CAG-170 sp900751035
Z6,Z7,34,2810018,Z7_bin_155,0.001209957,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA1829;s__UBA1829 sp900549415,Uncharacterised,UBA1829 sp900549415
